convex,smooth,brown,yes,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,urban
convex,smooth,yellow,yes,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,numerous,grasses
bell,smooth,white,yes,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,numerous,meadows
convex,scaly,white,yes,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,urban
convex,smooth,gray,no,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,brown,abundant,grasses
convex,scaly,yellow,yes,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,numerous,grasses
bell,smooth,white,yes,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,numerous,meadows
bell,scaly,white,yes,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,meadows
convex,scaly,white,yes,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,several,grasses
bell,smooth,yellow,yes,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,meadows
convex,scaly,yellow,yes,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,numerous,grasses
convex,scaly,yellow,yes,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,meadows
bell,smooth,yellow,yes,almond,free,close,broad,b'w',enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,grasses
convex,scaly,white,yes,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,several,urban
convex,fibrous,brown,no,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,black,abundant,grasses
sunken,fibrous,gray,no,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,solitary,urban
flat,fibrous,white,no,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,brown,abundant,grasses
convex,smooth,brown,yes,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,grasses
convex,scaly,white,yes,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,urban
convex,smooth,brown,yes,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,urban
bell,smooth,yellow,yes,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,meadows
convex,scaly,brown,yes,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,several,grasses
bell,scaly,yellow,yes,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,meadows
bell,scaly,white,yes,almond,free,close,broad,b'w',enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,numerous,meadows
bell,smooth,white,yes,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,meadows
flat,smooth,white,yes,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,several,grasses
convex,scaly,red,no,spicy,attached,close,narrow,black,tapering,unequal,smooth,smooth,white,white,partial,white,one,pendant,red,several,woods
flat,fibrous,orange,no,none,attached,close,broad,brown,enlarging,clubbed,scaly,silky,yellow,yellow,partial,yellow,one,free,brown,numerous,meadows
convex,smooth,yellow,no,none,free,close,broad,brown,enlarging,clubbed,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,urban
bell,scaly,white,no,none,free,close,narrow,black,tapering,unequal,fibrous,silky,yellow,yellow,partial,yellow,one,free,red,several,grasses
flat,smooth,brown,no,spicy,free,close,broad,brown,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,numerous,woods
bell,scaly,white,no,anise,free,close,broad,black,tapering,unequal,smooth,smooth,white,white,partial,white,one,pendant,brown,numerous,urban
flat,smooth,brown,no,none,free,close,broad,brown,enlarging,clubbed,smooth,smooth,white,white,partial,white,one,free,red,several,grasses
flat,fibrous,yellow,no,none,free,close,broad,brown,tapering,unequal,smooth,smooth,white,white,partial,white,one,pendant,brown,several,woods
convex,scaly,red,no,spicy,free,close,narrow,brown,enlarging,clubbed,scaly,silky,yellow,yellow,partial,yellow,one,pendant,brown,scattered,meadows
bell,smooth,white,no,none,free,close,narrow,black,tapering,unequal,smooth,smooth,white,white,partial,white,one,pendant,red,numerous,urban
convex,fibrous,brown,no,none,free,crowded,broad,red,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,black,abundant,urban
sunken,smooth,brown,yes,almond,attached,n/a,flat,brown,enlarging,equal,scaly,smooth,white,brown,partial,white,one,pendant,black,scattered,meadows
convex,smooth,white,no,none,free,crowded,broad,brown,enlarging,equal,silky,smooth,white,brown,partial,white,one,pendant,brown,scattered,urban
sunken,fibrous,white,no,none,free,crowded,broad,brown,tapering,equal,smooth,smooth,yellow,white,partial,white,one,evanescent,brown,abundant,grasses
flat,scaly,red,yes,pungent,free,close,narrow,white,club,smooth,smooth,smooth,yellow,white,partial,white,one,pendant,black,solitary,urban
convex,fibrous,yellow,no,none,free,crowded,narrow,red,tapering,equal,scaly,fibrous,white,brown,partial,white,one,pendant,brown,abundant,meadows
flat,crispy,sweet,no,medium,free,close,narrow,green,tapering,equal,smooth,smooth,white,white,partial,white,one,pendant,black,abundant,orchard
flat,smooth,yellow,yes,none,attached,crowded,broad,red,none,equal,scaly,fibrous,white,white,partial,white,one,pendant,brown,solitary,forest
bell,spongy,gray,no,foul,free,close,narrow,brown,club,equal,scaly,scaly,yellow,yellow,partial,yellow,one,evanescent,brown,scattered,meadows
convex,fibrous,brown,no,foul,free,close,broad,brown,club,equal,smooth,smooth,white,white,partial,white,one,pendant,black,abundant,forest
sunken,crispy,green,no,none,free,close,narrow,red,enlarging,equal,smooth,smooth,white,white,partial,white,one,evanescent,brown,scattered,orchard
flat,fibrous,white,yes,none,free,close,narrow,green,tapering,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,abundant,orchard
